Date	Name	Year	Letterboxd URI	Rating	Rewatch	Tags	Watched Date
1/11/2020	1917	2019	https://boxd.it/WeWTD	4			1/9/2020
3/29/2020	District 9	2009	https://boxd.it/13gtMF	3			3/28/2020
3/30/2020	In the Line of Fire	1993	https://boxd.it/13qSa7	3			3/29/2020
3/30/2020	Blow the Man Down	2019	https://boxd.it/13rwI9	3			3/30/2020
4/2/2020	Without Limits	1998	https://boxd.it/13Jlu7	3			4/1/2020
4/2/2020	Foxcatcher	2014	https://boxd.it/13Lqlt	3			4/1/2020
4/2/2020	The Nice Guys	2016	https://boxd.it/13MniD	4			4/2/2020
4/5/2020	Breaking Away	1979	https://boxd.it/147eDJ	3			4/3/2020
4/6/2020	The Post	2017	https://boxd.it/14eR4n	3			4/4/2020
4/6/2020	Sneakers	1992	https://boxd.it/14eRIn	2			4/5/2020
4/6/2020	Border	2018	https://boxd.it/14g8I7	2			4/5/2020
4/7/2020	Mad Max: Fury Road	2015	https://boxd.it/14oZmp	4	Yes		4/6/2020
4/8/2020	Nightcrawler	2014	https://boxd.it/14uC5d	4	Yes		4/7/2020
4/8/2020	Under the Skin	2013	https://boxd.it/14vn2P	3			4/7/2020
4/8/2020	The Descendants	2011	https://boxd.it/14wcV7	4			4/8/2020
4/9/2020	Blindspotting	2018	https://boxd.it/14BXYn	4			4/8/2020
4/10/2020	Gone Girl	2014	https://boxd.it/14HoEJ	3			4/9/2020
4/11/2020	Prisoners	2013	https://boxd.it/14M7Vt	4	Yes		4/9/2020
4/11/2020	Sea Fever	2019	https://boxd.it/14Pcgh	3			4/10/2020
4/11/2020	This Is Spinal Tap	1984	https://boxd.it/14QHu7	2			4/10/2020
4/11/2020	Dead Solid Perfect	1988	https://boxd.it/14Ro5T	2			4/10/2020
4/11/2020	The Falklands War: The Untold Story		https://boxd.it/14TrUJ	4			4/11/2020
4/12/2020	The Raid	2011	https://boxd.it/150CN9	3			4/11/2020
4/13/2020	The Raid 2	2014	https://boxd.it/15bd8x	4			4/12/2020
4/14/2020	The Platform	2019	https://boxd.it/15ifNL	3			4/13/2020
4/14/2020	The Cabin in the Woods	2011	https://boxd.it/15jRhZ	4			4/14/2020
4/14/2020	12 Years a Slave	2013	https://boxd.it/15khWp	4			4/14/2020
4/15/2020	Motherless Brooklyn	2019	https://boxd.it/15qTsp	3			4/14/2020
4/15/2020	Zero Dark Thirty	2012	https://boxd.it/15rCsf	4			4/15/2020
4/16/2020	Pok̩mon Detective Pikachu	2019	https://boxd.it/15ziMv	3			4/16/2020
4/17/2020	Nebraska	2013	https://boxd.it/15Fik9	3			4/16/2020
4/19/2020	Spirited Away	2001	https://boxd.it/15VN15	4			4/18/2020
4/20/2020	Your Name.	2016	https://boxd.it/164PKp	4			4/19/2020
4/21/2020	Planet of the Apes	1968	https://boxd.it/16bal3	3			4/20/2020
4/22/2020	Arrival	2016	https://boxd.it/16eENH	4	Yes		4/21/2020
4/22/2020	Big Time Adolescence	2019	https://boxd.it/16j9H9	4			4/21/2020
4/23/2020	Pleasantville	1998	https://boxd.it/16q1sz	3			4/22/2020
4/23/2020	Waiting	2020	https://boxd.it/16q9lr	3			4/23/2020
4/25/2020	Never Rarely Sometimes Always	2020	https://boxd.it/16D3Rx	3			4/24/2020
4/26/2020	Thoroughbreds	2017	https://boxd.it/16KO0p	4	Yes		4/25/2020
4/28/2020	Black Swan	2010	https://boxd.it/1738mB	4			4/28/2020
4/30/2020	The Secret of NIMH	1982	https://boxd.it/17hyIL	4			4/30/2020
5/3/2020	Extraction	2020	https://boxd.it/17FhKD	2			5/2/2020
